# Output Constellation (Received & Equalized)
# Real Imaginary
-0.975767 -1.02471
-0.995579 -0.96684
3.02342 1.02195
0.930867 3.01165
-0.967919 2.99647
-3.01374 -3.00806
0.978662 0.960772
-0.956681 -2.98342
3.0002 -2.95579
-0.939639 -1.03241
2.97401 -2.9594
3.00971 3.01541
-2.99095 -2.99145
1.02381 -1.0158
0.91341 -2.96527
-2.94478 -3.08536
-1.00198 -1.01235
-3.01293 -1.08968
-0.946172 1.0193
2.96352 -2.92321
-2.99168 2.91564
1.0337 1.04413
-1.03843 0.979318
3.07201 2.99398
1.03501 -1.00345
2.9794 -0.996247
-1.0021 -3.05011
3.08813 2.91043
2.9917 -0.949271
-2.95714 -0.928429
-2.90926 -3.02114
-0.884992 3.05092
1.1204 -3.046
-3.00593 1.12997
3.01241 2.90097
-3.03827 -1.07328
-3.08168 -3.11352
-1.26123 1.07522
1.00748 -0.926305
-0.891707 3.02454
3.01539 -2.81153
0.807585 -3.04795
-1.22389 3.27139
-0.964961 2.94905
-1.18209 0.890879
-2.99626 0.996533
3.13826 0.968614
-3.12435 2.67083
-3.0744 -0.879691
2.95449 -0.876052
-1.0983 -0.808177
1.17456 1.00934
-2.97977 -3.0583
-3.12871 -3.12684
3.23474 -3.03804
-2.97333 -3.10093
-2.97773 3.041
-3.20556 3.06163
-2.85775 1.1259
-3.10909 -3.17045
3.05699 3.01999
-3.06106 3.02453
2.99664 3.17828
3.03432 3.06524
-3.07755 0.959474
2.91732 0.958583
2.97242 -2.95405
-3.09206 0.74417
3.20103 -0.938998
-0.824937 -3.13546
1.11217 -3.23466
-1.18074 2.95224
-3.0798 0.887423
-2.9847 3.09013
2.4009 -1.03262
0.792813 2.95213
3.07273 -0.958427
2.97188 -3.03701
0.991886 -0.804189
-3.36826 1.10455
-2.72545 -3.01161
-2.89575 1.15689
-2.8389 0.950665
-2.847 -0.919811
3.18616 1.46744
0.71114 3.04023
-1.34125 -0.794175
0.505536 -3.11194
-0.824851 0.635291
3.33103 -0.699388
3.228 2.76457
-3.21581 -2.77654
-2.80423 -0.928213
-2.64533 3.19742
3.03083 -0.991688
-0.762032 1.39489
-0.962347 -3.17666
-0.952421 -1.0727
2.88428 0.70376
1.16205 -1.14287
-1.20802 -0.9908
-3.0189 0.844985
-2.99462 -3.08057
-0.990478 -1.0244
0.872788 3.13285
-0.591156 -0.704497
0.630564 -2.96753
3.04732 3.00239
-3.20037 -3.12574
2.90007 0.956198
3.07473 2.96448
-1.04066 3.044
-2.84303 3.14928
2.91346 2.95278
-3.09342 0.577165
-0.948657 -2.86993
2.89593 -1.08121
-1.29689 -2.83373
-3.00947 1.06247
-3.02154 -2.93224
-1.06721 -0.744466
0.847609 -3.05732
-3.28982 0.951736
2.98367 3.09933
0.908352 -3.09631
-2.68801 1.48587
-1.23755 2.73323
-3.17317 -1.05839
1.38612 0.870435
-2.58386 -1.14191
3.09622 -3.03781
-0.79884 -0.85321
-3.17334 2.34903
-1.45403 -3.20351
-3.01824 -3.05653
1.21023 -2.90784
-1.0038 -2.97182
-1.47835 3.15276
-2.42139 1.12371
-3.0418 0.889694
3.07869 2.83047
-1.0268 2.87899
-1.1825 2.89666
2.67058 0.903876
-2.93819 -2.88948
-0.767559 0.699957
-3.33909 0.794961
-3.06521 -1.26178
2.86496 3.07549
-3.06214 0.886915
-1.32298 3.07469
-3.19273 -2.65724
3.15785 2.94716
-0.917424 -1.05327
-0.938565 -0.841915
0.462334 1.077
-2.84204 -0.777012
-1.12886 1.0198
1.07171 0.823015
-2.80484 2.84866
-3.08289 -3.01481
-3.04782 -0.96316
-3.22174 -2.94117
-0.8969 3.04587
1.46933 1.00363
-1.13557 1.02346
-0.882312 2.98184
-1.40527 1.30738
-2.43134 3.04204
-2.79868 0.936479
-3.10759 -0.784891
-3.26792 -2.93687
1.1687 -3.06975
-2.96478 0.857879
-0.663517 -1.19316
-3.20599 -2.97653
-0.793115 2.8264
1.06686 2.77401
-3.0786 0.96098
-3.26381 3.14514
-2.90689 -0.892068
-1.00645 -2.80633
2.86843 -1.2116
3.1343 0.938367
-3.0286 -2.95433
-0.805484 1.30097
-1.08257 -2.82079
-1.02914 2.9885
-2.8588 -2.95828
-1.18215 -1.08555
-0.766449 -2.95979
0.902609 0.932302
-2.98545 3.00804
-3.02771 0.96339
1.04395 1.18089
-2.88243 0.943692
-1.09648 3.06423
2.94501 -2.91131
